| Title                                                                      | English Title                                                                       | Year    | Status        | Personal Rating | Online Rating | Sub Type    | Type  | Actors                                                     | Alternate Titles                                                                                                                                                                                                                                                                               | Data Source | Date Completed | Date Started | Director            | Duration      | Episodes | Favorite | Franchise                              | Genres                                                   | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Premiere   | Prequel | Released | Rewatch Count | Sequel | Streaming Services               | Studio                 | Tags                                                                                         | Url                                                                                                             | Watched | Writer                                             |
| Naruto: Shippuuden Movie 6 - Road to Ninja                                 | Naruto Shippuden the Movie 6: Road to Ninja                                         |   2012  |   Completed   |      ★ 4/10     |     ★ 7.69    | anime-movie | movie | -                                                          | ROAD TO NINJA NARUTO THE MOVIE, Naruto Movie 9, Naruto: Shippuuden Movie 6 - Road to Ninja, Naruto Shippuden the Movie 6: Road to Ninja                                                                                                                                                        | MALAPI      |       -        |      -       | -                   |  1 hr 49 min  |    1     |  false   | [[Naruto Franchise]]                   | Action, Adventure, Fantasy                               |   13667    | https://cdn.myanimelist.net/images/anime/1620/94336.jpg                                                                                 |      -       | Returning home to Konohagakure, the young ninja celebrate defeating a group of supposed Akatsuki members. Naruto Uzumaki and Sakura Haruno, however, feel differently. Naruto is jealous of his comrades' congratulatory families, wishing for the presence of his own parents. Sakura, on the other hand, is angry at her embarrassing parents, and wishes for no parents at all. The two clash over their opposing ideals, but are faced with a more pressing matter when the masked Madara Uchiha suddenly appears and transports them to an alternate world. In this world, Sakura's parents are considered heroes—for they gave their lives to protect Konohagakure from the Nine-Tailed Fox attack 10 years ago. Consequently, Naruto's parents, Minato Namikaze and Kushina Uzumaki, are alive and well. Unable to return home or find the masked Madara, Naruto and Sakura stay in this new world and enjoy the changes they have always longed for. All seems well for the two ninja, until an unexpected threat emerges that pushes Naruto and Sakura to not only fight for the Konohagakure of the alternate world, but also to find a way back to their own. [Written by MAL Rewrite]                                                                     | 7/28/2012  | -       |   true   |       0       | -      | Crunchyroll, Netflix             | Studio Pierrot         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/13667/Naruto_-_Shippuuden_Movie_6_-_Road_to_Ninja                                 |   true  | -                                                  |
| The Last: Naruto the Movie                                                 | Naruto Shippuden the Movie 7: The Last                                              |   2014  |   Completed   |      ★ 7/10     |     ★ 7.8     | anime-movie | movie | -                                                          | The Last: Naruto the Movie, Naruto Shippuden the Movie 7: The Last, Naruto Movie 10: Naruto the Movie: The Last,Naruto: Shippuuden Movie 7 - The Last, THE LAST NARUTO THE MOVIE                                                                                                               | MALAPI      |       -        |      -       | -                   |  1 hr 52 min  |    1     |  false   | [[Naruto Franchise]]                   | Action, Adventure, Fantasy, Romance                      |   16870    | https://cdn.myanimelist.net/images/anime/1491/134498.jpg                                                                                |      -       | Two years have passed since the end of the Fourth Great Ninja War. Konohagakure has remained in a state of peace and harmony—until Sixth Hokage Kakashi Hatake notices the moon is dangerously approaching the Earth, posing the threat of planetary ruin. Amidst the grave ordeal, Konoha is invaded by a new evil, Toneri Oosutuski, who suddenly abducts Hinata Hyuuga's little sister Hanabi. Kakashi dispatches a skilled ninja team comprised of Naruto Uzumaki, Sakura Haruno, Shikamaru Nara, Sai, and Hinata in an effort to rescue Hanabi from the diabolical clutches of Toneri. However, during their mission, the team faces several obstacles that challenge them, foiling their efforts. With her abduction, the relationships the team share with one another are tested, and with the world reaching the brink of destruction, they must race against time to ensure the safety of their planet. Meanwhile, as the battle ensues, Naruto is driven to fight for something greater than he has ever imagined—love. [Written by MAL Rewrite]                                                                                                                                                                                                           | 12/6/2014  | -       |   true   |       0       | -      | Crunchyroll, Netflix             | Studio Pierrot         | genre/Action, genre/Adventure, genre/Fantasy, genre/Romance                                  | https://myanimelist.net/anime/16870/The_Last_-_Naruto_the_Movie                                                 |   true  | -                                                  |
| Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!            | Naruto the Movie 1: Ninja Clash in the Land of Snow                                 |   2004  |   Completed   |      ★ 4/10     |     ★ 7.13    | anime-movie | movie | -                                                          | Naruto: It's the Snow Princess' Ninja Art Book!, Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo!, Naruto the Movie 1: Ninja Clash in the Land of Snow, Naruto: Daikatsugeki! Yukihime Ninpocho Dattebayo!, 劇場版　NARUTO　大活劇！雪姫忍法帖だってばよ!!                                         | MALAPI      |       -        |      -       | -                   |  1 hr 22 min  |    1     |  false   | [[Naruto Franchise]]                   | Action, Adventure, Fantasy                               |    442     | https://cdn.myanimelist.net/images/anime/1231/134484.jpg                                                                                |      -       | Naruto Uzumaki and his squadmates, Sasuke Uchiha and Sakura Haruno, are sent on a mission to escort a movie crew on its way to film in the Land of Snow. They soon find out that they are accompanying a famous actress, Yukie Fujikaze, who persistently refuses to travel there, making the trip far more difficult than originally intended. After a surprising encounter with ninjas from the Land of Snow, Naruto discovers that there is more to Yukie than meets the eye. Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo! follows the group as they attempt to overcome the obstacles in the Land of Snow and unveil Yukie's true purpose there as well. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 8/21/2004  | -       |   true   |       0       | -      | Crunchyroll, Netflix, AmasianTV  | Studio Pierrot         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/442/Naruto_Movie_1_-_Dai_Katsugeki!!_Yuki_Hime_Ninpouchou_Dattebayo!              |   true  | -                                                  |
| Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!         | Naruto the Movie 2: Legend of the Stone of Gelel                                    |   2005  |   Completed   |      ★ 4/10     |     ★ 6.88    | anime-movie | movie | -                                                          | Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!, Naruto the Movie 2: Legend of the Stone of Gelel, Naruto Movie 2, 劇場版　NARUTO　大激突！幻の地底遺跡だってばよ, Naruto THE Movie vol.2, Gekijouban Naruto                                                                                    | MALAPI      |       -        |      -       | -                   |  1 hr 37 min  |    1     |  false   | [[Naruto Franchise]]                   | Action, Adventure, Fantasy                               |    936     | https://cdn.myanimelist.net/images/anime/1114/134485.jpg                                                                                |      -       | In a tumultuous effort, the Sunagakure ninjas attempt to repel an unforeseen invasion of mysterious armored warriors on the Land of Wind. Shortly afterwards, the same armored troops led by Temujin—a skilled knight of impressive power—ambush Naruto Uzumaki, Sakura Haruno, and Shikamaru Nara, who are on a mission to recover a lost ferret. Naruto and Temujin engage in a fierce fight that ends with both of them falling off a cliff. Taken aback by their friend's sudden misfortune, Sakura and Shikamaru witness yet another alarming development: a massive moving structure appears out of nowhere, ravaging any trees and rocks in its path. While Sakura sets off to find Naruto, Shikamaru infiltrates the imposing fortress in hopes of learning more about the critical situation. Entangled in a relentless conflict, the Konohagakure ninjas join forces with their Sunagakure counterparts to defeat the common enemy. However, amidst the turmoil, a clash between two different visions of an ideal world emerges. [Written by MAL Rewrite]                                                                                                                                                                                                  |  8/6/2005  | -       |   true   |       0       | -      | Crunchyroll, Netflix, AmasianTV  | Studio Pierrot         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/936/Naruto_Movie_2_-_Dai_Gekitotsu!_Maboroshi_no_Chiteiiseki_Dattebayo!           |   true  | -                                                  |
| Naruto Movie 3: Dai Koufun! Mikazuki-jima no Animal Panic Dattebayo!       | Naruto the Movie 3: Guardians of the Crescent Moon Kingdom                          |   2006  |   Completed   |      ★ 4/10     |     ★ 6.93    | anime-movie | movie | -                                                          | Naruto the Movie 3: Guardians of the Crescent Moon Kingdom, Naruto Movie Volume 3, 劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ, Naruto: Gekijouban Naruto: Dai Koufun! Mikazuki-jima no Animal Panic Datte ba yo!, Naruto Movie 3: Dai Koufun! Mikazuki-jima no Animal Panic Dattebayo!             | MALAPI      |       -        |      -       | -                   |  1 hr 34 min  |    1     |  false   | [[Naruto Franchise]]                   | Action, Adventure, Fantasy                               |    2144    | https://cdn.myanimelist.net/images/anime/1918/134487.jpg                                                                                |      -       | Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two return from a long trip around the world. As if guarding two whimsical high-ranked individuals was not challenging enough, the prince's reckless decision to acquire an entire circus during their journey—mainly to entertain Hikaru's wish of owning the saber-toothed tiger featured in the show—further propels the mission into disarray. Just as things are finally settling down, the arrival of Michiru's convoy at the Land of Moon is met with an unforeseen crisis—the greedy Chief Minister Shabadaba has taken over the country with the assistance of mysterious, powerful ninjas. While Kakashi's team relentlessly fights the enemy by any means necessary, the two princes are forced to confront a new outlook on life through adversity. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                              |  8/5/2006  | -       |   true   |       0       | -      | Crunchyroll, Netflix, AmasianTV  | Studio Pierrot         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/2144/Naruto_Movie_3_-_Dai_Koufun!_Mikazuki-jima_no_Animal_Panic_Dattebayo!        |   true  | -                                                  |
| Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni                       | Neon Genesis Evangelion: The End of Evangelion                                      |   1997  |   Completed   |      ★ 9/10     |     ★ 8.57    | anime-movie | movie | -                                                          | Shinseiki Evangelion Gekijouban: The End of Evangelion, Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni, 新世紀エヴァンゲリオン劇場版 Air / まごころを, 君に, EoE, Neon Genesis Evangelion: The End of Evangelion                                                                                              | MALAPI      |       -        |      -       | -                   |  1 hr 26 min  |    1     |  false   | [[Evangelion Franchise]]               | Avant Garde, Drama, Sci-Fi, Suspense                     |     32     | https://cdn.myanimelist.net/images/anime/1404/98182.jpg                                                                                 |      -       | Shinji Ikari is left emotionally comatose after the death of a dear friend. With his son mentally unable to pilot the humanoid robot Evangelion Unit-01, Gendou Ikari's NERV races against the shadow organization SEELE to see who can enact their ultimate plan first. SEELE desires to create a godlike being by fusing their own souls into an Evangelion unit, while Gendou wishes to revert all of humanity into one primordial being so that he can be reunited with Yui, his deceased wife. SEELE unleashes its military forces in a lethal invasion of NERV headquarters. As SEELE's forces cut down NERV's scientists and security personnel, Asuka Langley Souryuu pilots Evangelion Unit-02 in a desperate last stand against SEELE's heaviest weaponry. The battle rages on, and a depressed Shinji hides deep within NERV's headquarters. With the fate of the world resting in Shinji's hands, Captain Misato Katsuragi hunts for the teenage boy as society crumbles around them. [Written by MAL Rewrite]                                                                                                                                                                                                                                            | 7/19/1997  | -       |   true   |       0       | -      | Netflix                          | Gainax, Production I.G | genre/Avant-Garde, genre/Drama, genre/Sci-Fi, genre/Suspense                                 | https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie_-_AirMagokoro_wo,_Kimi_ni                           |   true  | -                                                  |
| Yoru wa Mijikashi Arukeyo Otome                                            | Night Is Short, Walk on Girl                                                        |   2017  |   Completed   |     ★ 10/10     |     ★ 8.18    | anime-movie | movie | -                                                          | 夜は短し歩けよ乙女, Yoru wa Mijikashi Arukeyo Otome, Night Is Short, Walk on Girl                                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |  1 hr 32 min  |    1     |  false   | -                                      | Comedy, Romance                                          |   34537    | https://cdn.myanimelist.net/images/anime/2/86940.jpg                                                                                    |      -       | On a mysterious night that seems to last for a year, an ordinary college student continues to chase one of his underclassmen, a girl with black hair—the girl of his dreams. Up until now, he has been relying on a simple plan, which is to calculatingly bump into her every day while making it seem like a meaningful coincidence. However, his efforts remain futile as their relationship is not progressing at all. Meanwhile, the black-haired girl believes that everything is connected by fate and endeavors to experience as many new things as possible, leaving it all for destiny to decide. While strolling along the lively streets of Kyoto, she discovers that the very beginning of her fateful journey—a book she had as a child—is currently being sold in a second-hand bookstore. Upon knowing this, the college student eyes another opportunity to run into her "by chance": this time, he hopes to get the book before she does and finally grasp the thread of fate that could connect their hearts. [Written by MAL Rewrite]                                                                                                                                                                                                             |  4/7/2017  | -       |   true   |       0       | -      | Crunchyroll, Netflix             | Science SARU           | genre/Comedy, genre/Romance                                                                  | https://myanimelist.net/anime/34537/Yoru_wa_Mijikashi_Arukeyo_Otome                                             |   true  | -                                                  |
| No Game No Life: Zero                                                      | No Game, No Life: Zero                                                              |   2017  |   Completed   |      ★ 8/10     |     ★ 8.16    | anime-movie | movie | -                                                          | NGNL Zero, NGNL the Movie, No Game, No Life: Zero, No Game No Life: Zero, ノーゲーム・ノーライフ ゼロ                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |  1 hr 46 min  |    1     |  false   | -                                      | Drama, Fantasy, Romance                                  |   33674    | https://cdn.myanimelist.net/images/anime/1085/90759.jpg                                                                                 |      -       | In ancient Disboard, Riku is an angry, young warrior intent on saving humanity from the warring Exceed, the 16 sentient species, fighting to establish the One True God among the Old Deus. In a lawless land, humanity's lack of magic and weak bodies have made them easy targets for the other Exceed, leaving the humans on the brink of extinction. One day, however, hope returns to humanity when Riku finds a powerful female Ex-Machina, whom he names Schwi, in an abandoned elf city. Exiled from her Cluster because of her research into human emotions, Schwi is convinced that humanity has only survived due to the power of these feelings and is determined to understand the human heart. Forming an unlikely partnership in the midst of the overwhelming chaos, Riku and Schwi must now find the answers to their individual shortcomings in each other, and discover for themselves what it truly means to be human as they fight for their lives together against all odds. Each with a powerful new ally in tow, it is now up to them to prevent the extinction of the human race and establish peace throughout Disboard. [Written by MAL Rewrite]                                                                                           | 7/15/2017  | -       |   true   |       0       | -      | HIDIVE, Netflix, Animax Mongolia | Madhouse               | genre/Drama, genre/Fantasy, genre/Romance                                                    | https://myanimelist.net/anime/33674/No_Game_No_Life_-_Zero                                                      |   true  | -                                                  |
| Oldboy                                                                     | Oldboy                                                                              |   2003  |   Completed   |      ★ 8/10     |     ★ 8.3     |      -      | movie | Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong                   | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Park Chan-wook      |    120 min    |    1     |  false   | -                                      | Action, Drama, Mystery                                   | tt0364569  | https://m.media-amazon.com/images/M/MV5BMTAwNzNjYWItZmI0Ni00ZTcyLWIwNWMtZjlmNGMxZTEyYTJmXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 11/21/2003 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Action, genre/Drama, genre/Mystery                                                     | https://www.imdb.com/title/tt0364569/                                                                           |   true  | Garon Tsuchiya, Nobuaki Minegishi, Park Chan-wook  |
| One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima                  | One Piece: Baron Omatsuri and the Secret Island                                     |   2005  |   Completed   |      ★ 4/10     |     ★ 7.8     | anime-movie | movie | -                                                          | One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima, ワンピース オマツリ男爵と秘密の島, One Piece: Baron Omatsuri and the Secret Island                                                                                                                                                                  | MALAPI      |       -        |      -       | -                   |  1 hr 31 min  |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Drama, Fantasy                        |    464     | https://cdn.myanimelist.net/images/anime/1328/147315.jpg                                                                                |      -       | "If you are a pirate among pirates among pirates among pirates, then gather your steadfast crew of friends and set sail for our island." Upon finding an advertisement with these words on it for Omatsuri Island, the only recreational resort on the Grand Line, Monkey D. Luffy and his Straw Hat Crew set out for it immediately. Enticed by the island's casinos, spas, beautiful women, and exquisite cuisine, the crew are eager to relax and enjoy themselves. Much to their disappointment though, they are told upon arrival that they will first have to pass Baron Omatsuri's "Ordeals of Hell." Once they complete this series of challenges, they will be able to enjoy the resort. However, problems begin to surface the longer they stay on the island. As strange events continue to unfold, the Straw Hat Crew find themselves at odds with one another, disagreeing at every turn. Will the Straw Hat Crew be able to figure out the truth behind Omatsuri Island, or will they fall apart from infighting first? [Written by MAL Rewrite]                                                                                                                                                                                                        |  3/5/2005  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Drama, genre/Fantasy                                    | https://myanimelist.net/anime/464/One_Piece_Movie_06_-_Omatsuri_Danshaku_to_Himitsu_no_Shima                    |   true  | -                                                  |
| One Piece Movie 03: Chinjuu-jima no Chopper Oukoku                         | One Piece: Chopper Kingdom of Strange Animal Island                                 |   2002  |   Completed   |      ★ 4/10     |     ★ 6.83    | anime-movie | movie | -                                                          | One Piece Movie 03: Chinjuu-jima no Chopper Oukoku, One Piece: Chinjou Shima no Chopper Oukoku, One Piece: Chopper Kingdom of Strange Animal Island, ワンピース 珍獣島のチョッパー王国                                                                                                                         | MALAPI      |       -        |      -       | -                   |     55 min    |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |    461     | https://cdn.myanimelist.net/images/anime/1017/97698.jpg                                                                                 |      -       | The crew comes upon Crown Island where the animals can talk and they makes Chopper their new king. But there are human hunters there also looking for the legendary horns that will give the person who consumes it immense power. Luffy and friends must stop them from destroying this animal kingdom. (Source: ANN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |  3/2/2002  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/461/One_Piece_Movie_03_-_Chinjuu-jima_no_Chopper_Oukoku                           |   true  | -                                                  |
| One Piece Movie 02: Nejimaki-jima no Daibouken                             | One Piece: Clockwork Island Adventure                                               |   2001  |   Completed   |      ★ 5/10     |     ★ 7.08    | anime-movie | movie | -                                                          | One Piece: Clockwork Island Adventure, ワンピース ねじまき島の冒険, One Piece: Nejimakijima no Bouken, One Piece: Nejimaki Shima no Bouken, One Piece Movie 02: Nejimaki-jima no Daibouken                                                                                                                  | MALAPI      |       -        |      -       | -                   |     55 min    |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |    460     | https://cdn.myanimelist.net/images/anime/1939/97699.jpg                                                                                 |      -       | Informed by the Thief Brothers his ship has been stolen by the Trump Kyoudai (Trump Siblings) who have set up base on Clockwork Island. Monkey D. Luffy, Captain of the Going Merry and aspiring Pirate King works with his crew - Usopp, Zoro, Sanji and Nami to battle their way up Clockwork Island to reclaim their ship. (Source: ANN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |  3/3/2001  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/460/One_Piece_Movie_02_-_Nejimaki-jima_no_Daibouken                               |   true  | -                                                  |
| One Piece Movie 04: Dead End no Bouken                                     | One Piece: Dead End Adventure                                                       |   2003  |   Completed   |      ★ 5/10     |     ★ 7.51    | anime-movie | movie | -                                                          | One Piece Movie 04: Dead End no Bouken, One Piece: Dead End Adventure, ワンピース デッドエンドの冒険                                                                                                                                                                                                         | MALAPI      |       -        |      -       | -                   |  1 hr 35 min  |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |    462     | https://cdn.myanimelist.net/images/anime/1100/116767.jpg                                                                                |      -       | Luffy and crew arrive at the harbour of Anabaru. The local casino is holding a competition in which the winner will obtain a huge monetary reward if he reaches the finishing line first. Nami is elated and decides to participate in the competition. However, there is a conspiracy going behind the competition and the mastermind is an ex-military commander, Gasparde. His plan is to lure all the pirates to the military base and send them to their deaths. Luffy and gang have to overcome the numerous tests and tribulations along the way to complete this dead-end adventure. (Source: ANN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |  3/1/2003  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/462/One_Piece_Movie_04_-_Dead_End_no_Bouken                                       |   true  | -                                                  |
| One Piece Movie 14: Stampede                                               | One Piece: Stampede                                                                 |   2019  |   Completed   |      ★ 9/10     |     ★ 8.17    | anime-movie | movie | -                                                          | One Piece: Stampede, 劇場版『ONE PIECE STAMPEDE』（スタンピード）, One Piece Movie 14: Stampede                                                                                                                                                                                                             | MALAPI      |       -        |      -       | -                   |  1 hr 41 min  |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |   38234    | https://cdn.myanimelist.net/images/anime/1221/100550.jpg                                                                                |      -       | Monkey D. Luffy and the Straw Hats arrive aboard the Sunny to the Pirates Festival, the world's largest celebration created by and for pirates. Buena Festa, the festival organizer, invites the Straw Hats and all Worst Generation crews to partake in the festivities. Luring even Shichibukai and Marines to its shores, it seems that no pirate or sailor can resist the enticing secrets that the event hides behind its glamor. The festival's contest is simple: find one of the treasures Gol D. Roger left behind. As the competition progresses, the various pirate crews fight each other in a free-for-all battle royale—that is, until the sudden appearance of an unexpected pirate drastically changes the game. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |  8/9/2019  | -       |   true   |       0       | -      | Netflix                          | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/38234/One_Piece_Movie_14_-_Stampede                                               |   true  | -                                                  |
| One Piece Movie 05: Norowareta Seiken                                      | One Piece: The Curse of the Sacred Sword                                            |   2004  |   Completed   |      ★ 5/10     |     ★ 7.1     | anime-movie | movie | -                                                          | One Piece Movie 05: Norowareta Seiken, One Piece: The Curse of the Sacred Sword, ワンピース呪われた聖剣                                                                                                                                                                                                   | MALAPI      |       -        |      -       | -                   |  1 hr 35 min  |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |    463     | https://cdn.myanimelist.net/images/anime/2/25413.jpg                                                                                    |      -       | Luffy and crew go to an island searching for a legendary sword, said to be the most expensive in the world. Soon attacking marines and beautiful maidens split the crew. Zoro betrays the crew to help an old friend, Luffy and Usopp wander through a cave, and the rest help a village fight marines. When Zoro defeats Sanji he takes the sacred pearls that are the only defense against the evil sword that will plunge the world into darkness. (Source: ANN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |  3/6/2004  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/463/One_Piece_Movie_05_-_Norowareta_Seiken                                        |   true  | -                                                  |
| One Piece Movie 01                                                         | One Piece: The Movie                                                                |   2000  |   Completed   |      ★ 5/10     |     ★ 7.1     | anime-movie | movie | -                                                          | One Piece: The Movie, One Piece Movie 01, ONE PIECE                                                                                                                                                                                                                                            | MALAPI      |       -        |      -       | -                   |     50 min    |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |    459     | https://cdn.myanimelist.net/images/anime/1770/97704.jpg                                                                                 |      -       | Many years ago, Woonan, a legendary pirate, plundered one-third of the world's gold and stashed it away on his secret island shrouded in mystery. In the present, Luffy and the rest of the Straw Hats continue on their journey to the Grand Line. They are robbed by a group of bandits. Led by their captain, El Drago, these same bandits are headed towards Woonan's famed island. Even though the Straw Hat Pirates must now recover their stolen treasure, they have gained another objective: to discover the lost island, its treasures, and learn about the legend of Woonan. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |  3/4/2000  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/459/One_Piece_Movie_01                                                            |   true  | -                                                  |
| One Piece Film: Gold                                                       | One Piece Film: Gold                                                                |   2016  |   Completed   |      ★ 9/10     |     ★ 7.86    | anime-movie | movie | -                                                          | One Piece Film: Gold, One Piece Movie 13, ONE PIECE FILM GOLD                                                                                                                                                                                                                                  | MALAPI      |       -        |      -       | -                   |      2 hr     |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Fantasy                               |   31490    | https://cdn.myanimelist.net/images/anime/1081/137690.jpg                                                                                |      -       | Monkey D. Luffy and his Straw Hat Crew have finally arrived on Gran Tesoro, a ship carrying the largest entertainment city in the world. Drawn in by the chances of hitting the jackpot, the crew immediately head to the casino. There, they quickly find themselves on a winning streak, playing with what seems to be endless luck. When offered a special gamble by Gild Tesoro—the master of the city himself—the crew agrees, choosing to believe in their captain's luck. However, when they find themselves victims of a despicable scam, the crew quickly realize that there is something darker happening beneath the city's surface. Left penniless and beaten down, the Straw Hat Crew are forced to rely on another gamble of a plan. With the help of a new friend or two, the group must work to reclaim what they've lost before time, and what remains of their luck, runs out. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                             | 7/23/2016  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Fantasy                                                 | https://myanimelist.net/anime/31490/One_Piece_Film_-_Gold                                                       |   true  | -                                                  |
| One Piece Film: Red                                                        | One Piece Film: Red                                                                 |   2022  |   Completed   |      ★ 5/10     |     ★ 7.82    | anime-movie | movie | -                                                          | One Piece Movie 15, ONE PIECE FILM RED, One Piece Film: Red                                                                                                                                                                                                                                    | MALAPI      |       -        |      -       | -                   |  1 hr 55 min  |    1     |  false   | [[One Piece Franchise]]                | Action, Adventure, Award Winning, Comedy, Drama, Fantasy |   50410    | https://cdn.myanimelist.net/images/anime/1668/125323.jpg                                                                                |      -       | As a child, Uta—the Red Hair Pirates' ex-musician and Monkey D. Luffy's childhood friend—promised that she would build a new era of freedom by performing joyful music for the world. Luffy and the Straw Hat Crew arrive at Uta's first ever live concert, where many fans have gathered to enjoy the diva's otherworldly singing. Due to a childhood trauma, Uta bears a deep-seated hatred for pirates; her happy reunion with Luffy is cut short when she learns that he has since become one. Luffy's refusal to change his ways results in Uta unleashing her powers on the Straw Hats. The crew soon learns that their minds have already been trapped in Uta's dream world since the beginning of the concert, while their unconscious bodies remain asleep in the real world. With time quickly running out, the Straw Hats must find a way to escape the nightmare or be trapped in Uta's dream forever. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                           |  8/6/2022  | -       |   true   |       0       | -      | -                                | Toei Animation         | genre/Action, genre/Adventure, genre/Award-Winning, genre/Comedy, genre/Drama, genre/Fantasy | https://myanimelist.net/anime/50410/One_Piece_Film_-_Red                                                        |   true  | -                                                  |
